numero_solicitacao,razaoSocial,nomeFantasia,cnpjSemTraco,maiorAtraso,margemBrutaAcumulada,percentualProtestos,primeiraCompra,prazoMedioRecebimentoVendas,titulosEmAberto,valorSolicitado,status,definicaoRisco,diferencaPercentualRisco,percentualRisco,dashboardCorrelacao,valorAprovado,dataAprovadoEmComite,periodoBalanco,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,periodoDemonstrativoEmMeses,custos,anoFundacao,intervaloFundacao,capitalSocial,restricoes,empresa_MeEppMei,scorePontualidade,limiteEmpresaAnaliseCredito,dataAprovadoNivelAnalista
1651,Sarah Roberts-Fry,Mrs. Gail O'Connor,ABPS90663726815337,38,0.2258509034,0.0,2010-07-14T00:00:00,0,0.0,350000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.8928571428571428,0.1071428571428571,-0.863692028232909,350000.0,2020-02-05T19:14:37,2019-06-30T03:00:00,150354587.0,86939285.0,155477441.0,67765135.0,0.0,89816960.0,38456972.0,219572527.0,34944930.0,6.0,184727597.0,2009.0,De 11 a 16 anos,30000000.0,False,False,0.9935589652,33439938.0,2020-04-01T19:00:35
1691,Miss Lynda Metcalfe,Clifford Evans,VWIF60263275502678,14,0.5746576945,0.0,2013-02-15T00:00:00,36,168871.5,300000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.8928571428571428,0.1071428571428571,-0.866025403784438,200000.0,2020-04-14T17:50:27,2019-12-31T03:00:00,4997034.0,732091.0,5229200.0,1925483.0,0.0,2813377.0,0.0,9785943.0,5219864.0,12.0,4566079.0,2008.0,De 11 a 16 anos,265000.0,False,False,1.0,582090.0,2020-02-03T20:57:33
1726,Geoffrey Cartwright-Davies,Dr. Eric Mills,VIDJ94717766960499,48,0.4849830862,0.0,2016-12-02T00:00:00,119,853399.2,200000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.8928571428571428,0.1071428571428571,-0.867249267998317,200000.0,2020-04-22T20:00:36,2019-12-31T03:00:00,1258325.0,231828.0,1535285.0,1303456.0,0.0,325740.0,875089.0,14504819.0,1856435.0,12.0,12648384.0,1991.0,Acima de 17 anos,600000.0,False,False,0.0683746465,233626.0,2020-02-03T20:57:33
1744,Richard Johnson,Sean Ali,IDCD54168176325806,27,0.292221121,0.0,2008-01-18T00:00:00,0,4133.34,200000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,-0.866025403784439,150000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,18022550.0,3501106.0,19167442.0,15662887.0,0.0,8137538.0,8369320.0,46265229.0,22408153.0,12.0,23857076.0,1979.0,Acima de 17 anos,1500000.0,False,False,1.0,4022879.0,2020-04-24T15:51:31
1755,Francis Hall,Michelle Bailey,VRHM81767454396247,43,0.0,0.0,2016-04-19T15:18:28,0,0.0,180000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9642857142857142,0.0357142857142857,-0.866025403784439,150000.0,2020-02-05T19:14:37,2018-12-31T02:00:00,4565815.0,337703.0,5841069.0,5503365.0,0.0,2411864.0,522761.0,11411386.0,4073602.0,12.0,7337784.0,1981.0,Acima de 17 anos,200000.0,False,False,0.0,1021603.0,2020-04-24T16:10:30
1774,Bernard Burns,Peter Sutton,HGMY00748611802368,12,0.4274817554,0.0,2011-12-21T00:00:00,70,1005183.34,1500000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,0.0,1500000.0,2020-02-05T19:14:37,2019-04-30T03:00:00,41349153.0,19008239.0,45895093.0,21492863.0,0.0,23651729.0,12899620.0,36989387.0,10943772.0,4.0,26452773.0,2010.0,De 6 a 10 anos,2000000.0,False,False,1.0,4371321.0,2020-04-28T15:12:02
1806,Jeffrey Wright,Brett Marsh,LTJB33941153397394,4,0.5742936508,0.0,2013-05-16T00:00:00,105,15520.0,50000.0,AprovadoComite,De 0 a 10 % - Muito Baixo,0.9642857142857142,0.0357142857142857,0.0,50000.0,2020-04-29T16:42:25,2019-12-31T00:00:00,11301537.0,7753324.0,12270860.0,4517535.0,0.0,7142416.0,2872736.0,73828034.0,1605229.0,12.0,-43339992.0,2004.0,De 11 a 16 anos,30000.0,False,False,1.0,6167959.0,2020-02-03T20:57:33
1820,Laura Hughes-George,Bernard Brown,IQNN17937561360342,16,0.0,0.0,2015-09-30T17:49:54,0,0.0,100000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,0.0,100000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,3109371.0,1269604.0,3323683.0,2054079.0,0.0,48871.0,2815990.0,13983957.0,11744578.0,12.0,2239379.0,2013.0,De 6 a 10 anos,30000.0,False,False,0.0,1652020.0,2020-04-30T15:50:16
1846,Thomas Cooper,Hugh Chapman,XNAP40795453221979,3,0.479719888,0.0,2014-07-11T00:00:00,110,48121.99,100000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9464285714285714,0.0535714285714285,0.866025403784439,100000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,519625.0,200293.0,828100.0,627807.0,0.0,0.0,233983.0,1900333.0,203377.0,12.0,1696956.0,1990.0,Acima de 17 anos,200000.0,False,False,1.0,66600.0,2020-05-05T19:59:18
1916,Sarah Roberts-Fry,Mrs. Gail O'Connor,ABPS90663726815337,38,0.2258509034,0.0,2010-07-14T00:00:00,0,0.0,350000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.8928571428571428,0.1071428571428571,-0.863692028232909,350000.0,2020-02-05T19:14:37,2019-06-30T03:00:00,150354587.0,86939285.0,155477441.0,67765135.0,0.0,89816960.0,38456972.0,219572527.0,34944930.0,6.0,184727597.0,2009.0,De 11 a 16 anos,30000000.0,False,False,0.9935589652,33439938.0,2020-05-07T18:29:57
1918,Christian Richardson,Zoe Vaughan-Turner,TYKY32411026579458,64,0.3667671775,0.0,2010-04-08T00:00:00,203,259359.83,1400000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,-0.866067862563484,1400000.0,2020-02-05T19:14:37,2019-03-30T03:00:00,78618332.0,49147072.0,81720910.0,31308354.0,0.0,27342670.0,26897412.0,37122463.0,6471896.0,3.0,30650567.0,2009.0,De 11 a 16 anos,10000000.0,False,False,0.9999930711,7920000.0,2020-05-07T18:37:26
1932,Amy Moore-James,Karen Sinclair-Grant,DCNC68630446435434,7,0.4784275973,0.0,2016-10-13T00:00:00,20,209794.37,300000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9642857142857142,0.0357142857142857,-0.971564709161118,300000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,26713433.0,6267159.0,26799987.0,20532827.0,0.0,8065404.0,2967369.0,11264905.0,3635311.0,12.0,7629594.0,2010.0,De 6 a 10 anos,1000000.0,False,False,0.9837729653,15043086.0,2020-05-07T21:14:21
1933,Carolyn Whitehead,Judith Watkins,EOIB60827414985499,3,0.0,0.0,2018-03-19T11:03:02,0,0.0,250000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9464285714285714,0.0535714285714285,0.0,200000.0,2020-02-05T19:14:37,2019-12-31T03:00:00,33590798.0,28802791.0,35069468.0,6266676.0,0.0,0.0,0.0,84443992.0,10717215.0,12.0,73726777.0,2001.0,Acima de 17 anos,300000.0,True,False,0.0,10331455.0,2020-05-08T17:52:50
1935,Miss Stacey Taylor,Adam Hill,SVIN40715352813470,91,0.3831393429,0.0,2006-03-03T00:00:00,165,362410.6,1850000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,-0.404131479982723,1500000.0,2020-02-05T19:14:37,2019-04-30T03:00:00,41349153.0,19008239.0,45895093.0,21492863.0,0.0,23651729.0,12899620.0,36989387.0,10943772.0,4.0,26452773.0,2003.0,Acima de 17 anos,2000000.0,False,False,0.9888857194,12658850.0,2020-05-08T17:59:08
1937,Dr. Arthur Davison,Danielle Short,QKTR35396805294287,109,0.4675238032,0.0,2006-06-28T00:00:00,54,897034.57,1000000.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,0.9107142857142856,0.0892857142857142,-0.665807197969134,700000.0,2020-02-05T19:14:37,2019-03-31T03:00:00,78618332.0,49147072.0,81720910.0,31208354.0,0.0,27342670.0,26897412.0,37122463.0,0.0,3.0,0.0,1992.0,Acima de 17 anos,10000000.0,False,False,0.9886222613,0.0,2020-05-08T18:10:10
